# Dataset "150K (-)" exported from GenX on Fri Dec  9 11:04:04 2016
# Column lables:
# x	I_simulated	I	error(I)	error(x)
4.968542158552000099e-02 1.807103066191878512e-06 1.616843031279999924e-06 2.501479000000000055e-07 6.298970667420590672e-04
5.050666608626000476e-02 1.922233163097588903e-06 1.916053477260000014e-06 2.645274999999999843e-07 6.375043283315337279e-04
5.135551674793999849e-02 2.173837399248019800e-06 2.084349857979999766e-06 2.599023000000000230e-07 6.454976912643143206e-04
5.223339059718000443e-02 2.550121716440288519e-06 2.631372816499999719e-06 2.832355999999999611e-07 6.539014313023332843e-04
5.314179774994000349e-02 3.035975578624255187e-06 2.947363866319999668e-06 2.953453999999999971e-07 6.627447891608352539e-04
5.408236209804000161e-02 3.612590997226615401e-06 3.036297085259999686e-06 3.062087999999999752e-07 6.720589136543388261e-04
5.505681096590001045e-02 4.257280165121401664e-06 4.043757768700000148e-06 3.528139000000000065e-07 6.818772965493425948e-04
5.606702682684000516e-02 4.943601282367972052e-06 4.911389167219999322e-06 4.005345999999999581e-07 6.922401401537547037e-04
5.711501627330000525e-02 5.641748956144631560e-06 5.727786079739999783e-06 4.188078999999999819e-07 7.031834589162631920e-04
5.820292036010000364e-02 6.319328680025618998e-06 6.595743325399998336e-06 4.349761999999999745e-07 7.147558437430504398e-04
5.933307666400000624e-02 6.942541966751665507e-06 7.378068780859999717e-06 4.437518000000000574e-07 7.270045974393559698e-04
6.050798825392000174e-02 7.477677158650710127e-06 7.116241698079999728e-06 4.270094000000000040e-07 7.399840178474735618e-04
6.173037540724000266e-02 7.892971694174662098e-06 8.349201175279997924e-06 4.553569000000000003e-07 7.537534555323047126e-04
6.300315492327999978e-02 8.160674910597552417e-06 8.643157205159998784e-06 4.615773999999999732e-07 7.683781711935600955e-04
6.432954355589999562e-02 8.259240081669327627e-06 8.992009572339999070e-06 4.601675000000000077e-07 7.839321942674634322e-04
6.571297526742000961e-02 8.175385917924905932e-06 8.472290718219997930e-06 4.414332999999999563e-07 8.004939251289544489e-04
6.715721500448000592e-02 7.905876045232598857e-06 7.262361613959998876e-06 4.037406000000000465e-07 8.181549603269603959e-04
6.866635869803999759e-02 7.458704676061241191e-06 7.812470166779999332e-06 4.092380999999999672e-07 8.370124064514276787e-04
7.024489532294000971e-02 6.853453386739788203e-06 6.600354429139999423e-06 3.757672999999999822e-07 8.571801217555385152e-04
7.189771724116000851e-02 6.120627457660648716e-06 6.629722581339999755e-06 3.698068000000000395e-07 8.787812492373970252e-04
7.363019260464000182e-02 5.299810650380664174e-06 5.745292767399999017e-06 3.399597999999999973e-07 9.019534009435520566e-04
7.544822741484000228e-02 4.436669146586752331e-06 4.509059102699999710e-06 2.978694000000000004e-07 9.268559971540832375e-04
7.574482039534000122e-02 4.297752832311514746e-06 4.200755321259998991e-06 2.556815000000000121e-07 8.296759845602921140e-04
7.681920584132000129e-02 3.811572096333531568e-06 3.638333727959999630e-06 2.264962999999999951e-07 8.402544819245180013e-04
7.735830689577999353e-02 3.579006864937051662e-06 3.685483075699999279e-06 2.687529000000000057e-07 9.536639489740818178e-04
7.792452797795999808e-02 3.337896537754349209e-06 3.081401244519999572e-06 2.029797999999999976e-07 8.512414632787161477e-04
7.906211074254000659e-02 2.884445643561165622e-06 2.606062561319999680e-06 1.778918000000000048e-07 8.626597546312277272e-04
8.023340219146000984e-02 2.458080553735833925e-06 2.283861556519999612e-06 1.648093000000000066e-07 8.745336165111607368e-04
8.143991244068000956e-02 2.064608563216104718e-06 2.095415040119999806e-06 1.535857000000000066e-07 8.868886672132472813e-04
8.268327572528000324e-02 1.708580935717346506e-06 1.592025213900000083e-06 1.316360999999999938e-07 8.997524300385967202e-04
8.396519868316000557e-02 1.393181971963093390e-06 1.123572277979999805e-06 1.101098000000000136e-07 9.131539021028658130e-04
8.528748104156000376e-02 1.120151888774883582e-06 1.157952818339999999e-06 1.108425999999999870e-07 9.271287054571009838e-04
8.665207767662000404e-02 8.897730857946845377e-07 8.486069546959999204e-07 1.033177999999999883e-07 9.417046999521877038e-04
8.806105724034000992e-02 7.009492152059066664e-07 5.833357409879999154e-07 8.761424000000000329e-08 9.569271719432780781e-04
8.951661250384000679e-02 5.513323196760538898e-07 4.548908845859999943e-07 7.847524000000000331e-08 9.728283033911018637e-04
